t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3435,     481,    3375,    -150,     -17,      79",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,0.00,2,-17,-5156
5,1.00,0.00,0.00,0.00,0,-37,-3774
6,1.00,0.00,0.00,-0.00,-3,-67,-2764
7,1.00,0.00,0.00,-0.00,-2,-68,-2041
8,1.00,0.00,0.00,-0.00,0,-53,-1510
9,1.00,0.00,0.00,-0.00,4,-34,-1112
10,1.00,0.00,0.00,-0.00,10,-16,-811
11,1.00,0.00,0.00,-0.00,15,4,-600
12,1.00,0.00,0.00,-0.00,10,12,-444
13,1.00,0.00,0.00,-0.00,5,13,-319
14,1.00,0.00,0.00,0.00,3,12,-237
15,1.00,0.00,0.00,0.00,4,10,-168
16,1.00,0.00,0.00,0.00,0,-6,-127
17,1.00,0.00,0.00,0.00,4,-17,-104
18,1.00,0.00,0.00,0.00,7,-15,-78
19,1.00,0.00,0.00,0.00,5,-13,-52
20,1.00,0.00,0.00,0.00,2,-6,-37
21,1.00,0.00,0.00,0.00,5,-5,-29
22,1.00,0.00,0.00,0.00,8,-13,-26
23,1.00,0.00,0.00,0.00,5,-25,-13
24,1.00,0.00,0.00,0.00,4,-39,1
25,1.00,0.00,0.00,0.00,0,-53,12
26,1.00,0.00,0.00,0.00,-4,-57,11
27,1.00,0.00,0.00,0.00,-3,-43,5
28,1.00,0.00,0.00,0.00,-1,-33,3
29,1.00,0.00,0.00,0.00,0,-35,2
30,1.00,0.00,0.00,0.00,0,-44,0
31,1.00,0.00,0.00,0.00,2,-37,-3
32,1.00,0.00,0.00,0.00,7,-18,0
33,1.00,0.00,0.00,0.00,10,-17,-8
34,1.00,0.00,0.00,0.00,7,-41,-6
35,1.00,0.00,0.00,0.00,0,-73,-1
36,1.00,0.00,0.00,0.00,-1,-70,-13
37,1.00,0.00,0.00,0.00,0,-48,-19
38,1.00,0.00,0.00,0.00,2,-34,-19
39,1.00,0.00,0.00,0.00,0,-50,-4
40,1.00,0.00,0.00,0.00,1,-55,0
41,1.00,0.00,0.00,-0.00,0,-37,-4
42,1.00,0.00,0.00,-0.00,6,-9,-11
43,1.00,0.00,0.00,-0.00,6,-7,-14
44,1.00,0.00,0.00,0.00,6,-21,-2
45,1.00,0.00,0.00,0.00,-4,-29,0
46,1.00,0.00,0.00,0.00,-2,-13,-1
47,1.00,0.00,0.00,0.00,6,5,2
48,1.00,0.00,0.00,0.00,11,7,0
49,1.00,0.00,0.00,0.00,8,0,4
50,1.00,0.00,0.00,0.00,1,5,0
51,1.00,0.00,0.00,0.00,0,24,-8
52,1.00,0.00,0.00,0.00,2,25,-4
53,1.00,0.00,-0.00,0.00,8,0,0
54,1.00,0.00,-0.00,0.00,-3,-3,-6
55,1.00,0.00,0.00,0.00,-14,11,-6
56,1.00,0.00,0.00,0.00,-12,15,0
57,1.00,0.00,0.00,0.00,-12,1,8
58,1.00,0.00,0.00,0.00,-1,-4,0
59,1.00,0.00,0.00,0.00,11,-1,-1
60,1.00,0.00,0.00,0.00,11,0,1
61,1.00,0.00,0.00,0.00,21,-10,0
62,1.00,0.00,-0.00,0.00,29,-23,0
63,1.00,0.00,-0.00,0.00,8,-18,9
64,1.00,0.00,0.00,0.00,2,-11,6
65,1.00,0.00,0.00,0.00,13,-16,0
66,1.00,0.00,-0.00,0.00,24,-35,-9
67,1.00,0.00,-0.00,0.00,28,-58,-5
68,1.00,0.00,-0.00,0.00,15,-55,0
69,1.00,0.00,-0.00,0.00,1,-34,1
70,1.00,0.00,-0.00,0.00,4,-16,11
71,1.00,0.00,-0.00,-0.00,26,-13,6
72,1.00,0.00,-0.00,-0.00,32,-23,1
